"Name";Reason
"artificial-characters"; multiple files
"audiology"; special data format
"chess/king-rook-vs-king-knight"; lisp code
"chess/domain-theories"; domain theory code
"chorales"; lisp code
"diabetes"; multiple data files
"dgp-2"; c code
"document-understanding"; lisp code
"ebl"; domain theory code
"heart-disease"; special data format (CSV but multiple lines are one dataset)
"function-finding"; text and data alternate
"icu"; -Data instead of .data
"image"; needs advanced CSV handling
"internet_ads"; should work with encoding_errors = 'backslashreplace'
"led-display-creator"; c code
"logic-theorist"; includes code, requires recursive download
"mechanical-analysis"; requires recursive download
"mobile-robots"; not a tabular format
"molecular-biology/protein-secondary-structure"; sequential data
"mfeat"; data file names have no suffix
"othello"; some logical code instead of data
"optdigits"; .tes/.tra instead of .test/.train
"pendigits"; .tes/.tra instead of .test/.train
"qsar"; tar file with no suffix
"quadrapeds"; c code
"solar-flare"; .data1/.data2 instead of .data
"statlog"; requires recursive download
"student-loan"; perl code
"undocumented"; requires recursive download
"auslan-mld"; data in many subfolders
"auslan2-mld"; data in many subfolders
"census1990-mld"; works, but is quite large (360 MB text files)
"CorelFeatures-mld"; .asc instead of .data
"ecoli-mld"; perl code
"eeg-mld"; data in many subfolders
"faces-mld"; image data in many subfolders
"tic-mld"; custom name for data files
"entree-mld"; data in many subfolders
"el_nino-mld"; .dat instead of .data
"internet_usage-mld"; .dat instead of .data
"20newsgroups-mld"; text corpus in subfolders
"ipums-mld"; custom name for data files
"kddcup98-mld"; requires recursive download
"tb-mld"; perl code
"movies-mld"; requires recursive download
"msnbc-mld"; special data format
"nsfabs-mld"; text data in many subfolders
"reuters21578-mld"; text data
"SyskillWebert-mld"; text data in many subfolders
"UNIX_user_data-mld"; text data in subfolders
"volcanoes-mld"; complex data format in many subfolders
"statlog/australian"; .dat instead of .data
"statlog/heart"; .dat instead of .data
"statlog/satimage"; .trn/tst instead of .train/test
"statlog/segment"; .dat instead of .data
"statlog/shuttle"; .trn/tst instead of .train/test
"statlog/vehicle"; .dat instead of .data
"undocumented/connectionist-bench/sonar"; -data instead of .data
"undocumented/pazzani"; just a single file with lisp code
"undocumented/taylor"; requires advanced CSV handling
"undocumented/sigillito"; sequential data
"uji-penchars/version1"; subfolders
"forest-fires"; .csv instead of .data
